"month","activity_index","momentum","labor_utilization"
2010-03-01,96.6076646698399,28.3543260853126,100.150313142594
2010-04-01,96.6086082984326,28.5299998492376,101.447778345967
2010-05-01,96.5477799748945,46.3613346602589,101.944208822553
2010-06-01,96.5182440345806,46.6442543951824,101.33774180478
2010-07-01,96.4703141903565,44.0468546927704,101.670466598004
2010-08-01,96.1399773612926,30.6008112221732,101.955678072345
2010-09-01,95.8788707059466,21.1082872041724,101.238259172933
2010-10-01,95.9967116234151,27.6603136960441,101.34210101074
2010-11-01,95.7860000247399,33.0431574327138,102.085552465471
2010-12-01,95.6218719834854,37.7940702044483,101.821858509816
2011-01-01,95.2025546701457,15.9474436569784,100.755035037159
2011-02-01,95.1150497601815,19.8187110047458,100.245121779352
2011-03-01,94.9549495810271,19.9185956061814,99.6353930953869
2011-04-01,94.9556610701585,38.2199570446054,100.04639881852
2011-05-01,94.9536630557336,42.6963749142971,101.114587436083
2011-06-01,94.7879233598956,42.3808865354751,100.328697948708
2011-07-01,94.9513297591495,51.1946054935827,101.814544560458
2011-08-01,94.6352292024222,34.569000631995,101.095107438964
2011-09-01,94.6007496360565,41.2927755652325,100.735761950203
2011-10-01,94.52907450077,29.6243104238584,101.928872948461
2011-11-01,94.4600596977205,41.9157872147125,101.565820574705
2011-12-01,94.5100114234495,46.4712410162814,102.472677096264
2012-01-01,94.6205564809661,56.4007215534876,103.499973772941
2012-02-01,94.5740531204406,57.6118575326358,103.10345632687
2012-03-01,94.4908488711969,50.3816069041866,103.017809520076
2012-04-01,94.4065769247553,39.8586082455041,103.546948567738
2012-05-01,94.1023337192778,27.3346958012831,101.612822818521
2012-06-01,93.9398764033889,23.9911720536733,101.470612195292
2012-07-01,93.6857095335757,17.8103717899816,101.893841706783
2012-08-01,93.7103948266195,30.8610299359071,100.87819213487
2012-09-01,93.772351286656,42.2578079586082,102.542939641316
2012-10-01,93.7022139950167,52.340633874369,101.390962957658
2012-11-01,93.6634476560062,48.8381510657835,101.016747460808
2012-12-01,93.6718885949408,45.8936004042518,101.435358175116
2013-01-01,93.5542231550913,43.2927833746691,100.551315123995
2013-02-01,93.599749273658,47.9118986380943,102.171361913712
2013-03-01,93.517610967243,42.9489293365054,102.278579018514
2013-04-01,93.4877333683917,47.7535884124429,102.391343334316
2013-05-01,93.3287592794468,36.7520221598807,101.327908791986
2013-06-01,93.4855714778875,49.6578001630215,103.184026575103
2013-07-01,93.3887920179297,45.960551529429,101.812536352588
2013-08-01,93.5397685548765,62.8237282830379,102.882030475365
2013-09-01,93.6707930223551,61.4651213038429,104.554175598212
2013-10-01,93.5944931922504,62.5421392528109,102.778368484567
2013-11-01,93.5815870438665,53.7366602551031,103.065450516095
2013-12-01,93.7134767026021,53.7809459382703,103.932530105956
2014-01-01,93.5917973187595,51.2815382252309,103.52281370914
2014-02-01,93.0866753262451,26.1097529082162,99.4535106082474
